Tr Actual E0,Tr Predicted E0
-1.032,-0.9318157444965168
-1.16814704,-0.7895116559475128
-1.06156146,-0.7016063364464551
-0.134,-0.4150392478096742
-1.054,-0.9205535133445357
-0.81,-0.7346227492942181
-1.06864214,-0.7777062609689259
-0.97658383,-0.8026702241836294
-0.677,-0.5716079179816835
-0.489,-0.4318018285666309
-0.42317356,-0.6791171028208723
-0.73248494,-0.7551082193381309
-0.93784873,-0.7306571032649326
-0.625,-0.5569837290242103
-0.8612572,-0.7606205459462076
-0.077,-0.48494174078854696
-0.171,-0.4949099002637164
-1.2798031,-0.7547882313164521
-0.374,-0.48588545645001047
-0.85314334,-0.6999934679107267
-1.016,-0.865593829532379
-0.37,-0.5369542975501134
-1.015,-0.5124954842668867
-1.017,-0.44989509189850024
-0.553,-0.4670068659073179
-0.96498014,-0.8001837527218059
-0.47722466,-0.6646542031294868
-0.4781702,-0.7218379384975503
-0.64171637,-0.7407781820271526
-1.12678703,-0.7714487055557236
-0.86200774,-0.7491525547513197
-0.03993522,-0.6628209101157925
-0.523,-0.480130374361313
-0.91883635,-0.7976851288655743
-0.562,-0.4621664753182225
-0.719,-0.47321357398199826
-0.651,-0.7554447375134881
-0.60900685,-0.7926405367821518
-0.91153214,-0.8254962125416516
-0.71,-0.49861590839021874
-0.371,-0.5101192517839201
-0.3789491,-0.7639605510867972
-0.194,-0.45243322813128106
-0.87099675,-0.7711633421043412
-0.81424767,-0.7278152943827471
-0.417,-0.5399381564685893
-0.43518893,-0.719506156578704
-1.1130244,-0.8338737301609994
-0.94305278,-0.7414343319213043
-0.59782552,-0.7250403950257416
-1.0563312,-0.7768606943877489
-0.54790107,-0.6626275424990397
-0.504,-0.4969655442200026
-0.0479683,-0.6511470331929652
-0.994,-0.46573021912878376
-0.108,-0.43751750299875214
-0.51163341,-0.74822882522652
-0.82555587,-0.7358486727558204
-1.05252683,-0.7566614853585734
-0.81151515,-0.7679681431646441
-0.99991635,-0.7472094959502974
-1.0971139,-0.7926970019638171
-0.5935564,-0.7677940186282484
-1.02618987,-0.8135402765370569
-0.086,-0.5525920398927144
-0.556,-0.4662188071475114
-0.6900878,-0.6925802794465626
-0.73186329,-0.7105493252689216
-0.94328199,-0.7250648918416371
-1.70572679,-0.8279813537448246
-0.503,-0.452774661161056
-0.49826842,-0.7279505546050865
-0.377,-0.43034916327937667
-0.656,-0.7558495988533933
-0.32002169,-0.667525069460579
-0.47175002,-0.6502459913464507
-1.02573532,-0.8621088315396885
-0.56,-0.5451845010096741
-0.55414339,-0.7161006200950507
0.44061743,-0.698578099148489
-0.278,-0.4791345668783369
-1.12531649,-0.8595628493178675
-0.229108,-0.7288608730599764
-0.50047595,-0.7133222171002346
-0.28636235,-0.7702411788225975
-0.98491731,-0.6869488554220323
-0.506,-0.911007926286603
-0.979,-0.8627700816139743
-0.2407627,-0.7024613274668942
-0.95737556,-0.7878895934907748
-1.074,-0.961470960707621
-0.327,-0.5347229172940253
-0.50253835,-0.6780615522359182
-0.25614808,-0.7366689200015542
-0.995,-0.5265533324370268
-0.8781954,-0.7305682726641771
-0.518,-0.8643925068483888
-0.385,-0.5100737499232494
0.22865765,-0.6994416836693857
-0.15171683,-0.6780697380206347
-1.026,-0.775269297355008
0.2249784,-0.6431223996514781
-0.383,-0.47711049495422175
-0.473,-0.45453303162081643
-0.283,-0.47492937543634883
-0.59039549,-0.7072981547131394
-1.011,-0.5054860000767027
-0.537,-0.4374253610986949
-0.138,-0.39446613909595135
-0.54162563,-0.6936310531872362
-1.06798906,-0.8132423841495905
-0.89496127,-0.7743522768804199
-2.5721744,-0.7463384299636
-0.5,-0.4419665243930996
-0.654,-0.9212960403506305
-0.544,-0.4212040514549952
-0.93114353,-0.7586587163395846
-0.86653899,-0.7773183166587085
-0.16453762,-0.6655397245157365
-0.99616337,-0.7579913719568885
-0.43,-0.498433321172867
-0.749,-0.5173184142703813
-0.67906937,-0.7786451589124481
-1.17110452,-0.8364157800108379
-0.274,-0.46375619869098095
-1.08335403,-0.8163976037587066
-0.66467793,-0.7186392151600962
-0.6001678,-0.7975310517140353
0.48395404,-0.6636923177907019
-0.86411942,-0.7513795870755859
-0.22711286,-0.7064084236520292
-0.79596622,-0.7515821425239146
-1.07631424,-0.759839354827324
-0.603,-0.43615674836861557
-1.1515799,-0.838938332386752
-0.286,-0.4782011757023833
